PBPX_952.01;Dead or Alive 2
PBPX_955.06;Official PlayStation 2 Magazine Demo Disc 2001
SCAJ_201.44;Saru Gechu 3 [Ape Escape 3]
SCES_504.90;Final Fantasy X
SCES_504.92;Final Fantasy X
SCES_505.95;Disney-Pixar Monsters Inc.
SCES_523.27;Forbidden Siren
SCES_523.29;Forbidden Siren
SCES_530.54;Death by Degrees
SCKA_200.01;XI5
SCKA_200.02;Time Crisis II
SCKA_200.03;War of the Monsters - Kaijuu Daigekisen
SCKA_200.04;Sly Cooper and the Thievius Raccoonus
SCKA_200.05;Lets Bravo Music
SCKA_200.06;Argus-ui Jeonsa (Korea)
SCKA_200.07;SOCOM - U.S. Navy SEALs
SCKA_200.08;Tales of Destiny 2
SCKA_200.09;R-Type Final
SCKA_200.10;Jak II
SCKA_200.14;Dark Claud 2
SCKA_200.15;Time Crisis 3
SCKA_200.19;Siren
SCKA_200.20;SOCOM II - U.S. Navy SEALs
SCKA_200.23;Fatal Frame 2
SCKA_200.25;Katamari Damacy
SCKA_200.26;Gungrave O.D.
SCKA_200.31;ATHENS 2004
SCKA_200.32;Syphon Filter - The Omega Virus
SCKA_200.38;Time Crisis - Crisis Zone
SCKA_200.39;Tekken Nina Williams In Death By Degree
SCKA_200.40;Jak 3
SCKA_200.43;Magna Carta
SCKA_200.44;Sly Cooper 2 Band of Thieves
SCKA_200.47;Armored Core - Nine Breaker
SCKA_200.49;Tekken 5
SCKA_200.50;Tales of Legendia
SCKA_200.51;Minna Daisuki Katamari Damacy
SCKA_200.52;Genji
SCKA_200.55;Mystic Nights
SCKA_200.57;Everybodys Golf 4 (Korea)
SCKA_200.58;Bumpy Trot
SCKA_200.63;Sly 3 - Honor Among Thieves
SCKA_200.68;DISNEYS PIXAR - CARS
SCKA_200.69;Forbidden Siren 2
SCKA_200.84;MONSTER HOUSE
SCKA_200.90;GOD HAND
SCKA_200.96;Barnyard
SCKA_200.98;SPONGEBOB SQUAREPANTS - CREATURE FROM THE KRUSTY KRAB
SCKA_200.99;Persona 3
SCKA_201.09;Persona 3 - Fes [Independent Starting Version]
SCKA_201.14;Obscure II - The Aftermath
SCKA_201.32;Persona 4
SCKA_300.02;God of War
SCKA_300.06;God of War 2
SCPS_110.03;Ico
SCPS_110.06;Sky Gunner
SCPS_110.07;Tsuganai
SCPS_110.10;Yoake no Mariko [with Microphone]
SCPS_110.22;Yoake no Mariko 2nd Act
SCPS_110.24;Otostaz
SCPS_110.26;Gacharoku
SCPS_110.27;Mawaza
SCPS_110.28;Lets Bravo Music
SCPS_110.34;Gacharoku 2
SCPS_150.03;Sky Odyssey
SCPS_150.04;Dark Cloud
SCPS_150.11;Extermination
SCPS_150.17;PaRappa the Rapper 2
SCPS_150.22;Dual Hearts
SCPS_150.29;Xi [sai] Jumbo
SCPS_150.33;Dark Chronicle
SCPS_150.34;This is Football 2003
SCPS_150.41;Arc the Lad - Seirei no Koukon
SCPS_150.44;SOCOM - U.S. Navy SEALs
SCPS_150.50;Flipnic
SCPS_150.53;Siren
SCPS_150.58;Arc the Lad - Generation
SCPS_150.62;Bakuso! Mountain Bikers
SCPS_150.65;SOCOM II - U.S. Navy SEALs
SCPS_150.69;Fish - Legend of Seven Waters and Gods
SCPS_150.74;Olympic Summer Games - Athens 2004
SCPS_150.80;Waga Ryuomiyo - Pride of the Dragon Peace
SCPS_150.81;Dokodemo Issyo - Toro to Ippai
SCPS_150.85;Kenran Butousai
SCPS_150.93;Rule of Rose
SCPS_151.11;Brave Story - Wataru no Bouken
SCPS_151.12;Blood+ Souyoku Battle Rinbukyoku
SCPS_151.13;Minna no Tennis
SCPS_560.01;Ico
SCPS_560.02;Tekken Tag Tournament
SCPS_560.04;OTOSTAZ
SCPS_560.06;Tekken 4
SCPS_560.07;Minna no Golf 3
SCPS_560.08;Fatal Frame
SCPS_560.09;Smash Court Pro Tournament
SCPS_560.11;U - Underwater Unit
SCPS_560.12;Disaster Report
SCPS_560.13;This is Football 2003
SCPS_560.14;Gungrave
SCUS_971..12;UNKNOWN TITLE
SCUS_971.09;NCAA Final Four 2001
SCUS_971.45;Disneys Stitch - Experiment 626
SCUS_971.64;Twisted Metal Black [Demo]
SCUS_971.81;Official U.S. PlayStation Magazine Demo Disc 055
SCUS_972.60;War of the Monsters [Demo]
SCUS_974.36;Gran Turismo 4 [Online Public Beta]
SLES_500.34;MotoGP
SLES_500.42;Disneys Dinosaur
SLES_500.43;Disneys Dinosaur
SLES_501.58;Gungriffon Blaze
SLES_503..86;UNKNOWN TITLE
SLES_503.00;Time Crisis 2
SLES_504.09;MotoGP 2
SLES_504.38;Motor Mayhem
SLES_506.30;Dragon Rage
SLES_508.10;Smash Court Tennis - Pro Tournament
SLES_508.74;F1 2002
SLES_508.78;Tekken 4
SLES_509.03;MegaRace 3 - Nanotech Disaster
SLES_509.95;Fireblade
SLES_510.64;Gladius
SLES_510.69;RTX - Red Rock
SLES_511..13;UNKNOWN TITLE
SLES_513.81;Everblue 2
SLES_515.84;F1 Career Challenge
SLES_517.18;League Series Baseball 2
SLES_518.16;Final Fantasy X-2
SLES_518.20;Sniper Elite
SLES_518.44;Time Crisis 3
SLES_518.73;Medal of Honor - Rising Sun
SLES_521.35;Hitman - Contracts
SLES_523.73;Champions of Norrath: Realms of EverQuest
SLES_525.05;Spy Fiction
SLES_525.25;Mouse Trophy
SLES_527.38;Obscure
SLES_528.58;Cocoto Kart Racer
SLES_528.92;Moto GP 4
SLES_531.00;Scooby Doo! Unmasked
SLES_531.24;Project Snowblind
SLES_531.42;Doomsday Racers
SLES_532.19;Winx Club
SLES_532.42;Madagascar
SLES_533.32;Medal of Honor - European Assault
SLES_533.40;Dynasty Warriors 5
SLES_533.53;Shaman King - Power of Spirit
SLES_533.91;Ultimate Spider-Man
SLES_534.52;Trixie in Toyland
SLES_534.85;Car Racing Challenge
SLES_535.79;One Piece - Grand Battle
SLES_535.94;Living World Racing
SLES_536.14;Classic British Motor Racing
SLES_537.17;Midnight Club 3 - DUB Edition Remix
SLES_537.44;Disneys Chicken Little
SLES_538.00;Rampage - Total Destruction
SLES_538.05;Cocoto Funfair
SLES_538.48;Flow - Urban Dance Uprising
SLES_539.15;Space War Attack
SLES_541.14;Kingdom Hearts II
SLES_541.72;Garfield 2 - Tale of Two Kitties
SLES_542.15;Monster House
SLES_542.33;Kingdom Hearts II
SLES_543.11;Noddy and The Magic Book
SLES_543.66;David Douillet Judo
SLES_544.31;Teen Titans
SLES_545.37;K.O. King
SLES_545.52;Rogue Galaxy
SLES_546.14;Lucinda Greens Equestrian Challenge
SLES_546.65;Paddington Bear
SLES_546.83;Medal of Honor - Vanguard
SLES_547.15;Tony Hawks Downhill Jam
SLES_548.17;Garfield - Lasagna World Tour
SLES_548.18;Super PickUps
SLES_550.08;Riding Star 3
SLES_550.13;Iridium Runners
SLES_550.30;Disney/Pixar Cars - Mater-National Championship
SLES_550.43;Garfield - Lasagna World Tour
SLES_551.22;Moorhuhn Fun Kart 2008
SLES_551.52;Skyscraper
SLES_551.72;Code Lyoko: Quest for Infinity
SLES_552.02;Tim Stockdales Riding Star
SLES_552.36;DreamWorks Kung Fu Panda
SLES_553.83;Warriors Orochi 2
SLES_555.36;Cars Race-O-Rama
SLES_555.46;The Secret Saturdays - Beasts of the 5th Sun
SLES_555.87;Pro Evolution Soccer 2010
SLES_556.36;Pro Evolution Soccer 2011
SLES_556.56;Pro Evolution Soccer 2012
SLES_820.18;Cy Girls
SLES_820.36;Armored Core - Nexus [Evolution Disc]
SLES_820.37;Armored Core - Nexus [Revolution Disc]
SLES_820.38;Onimusha - Dawn of Dreams
SLES_820.39;Onimusha - Dawn of Dreams
SLKA_150.01;Barbarian
SLKA_150.02;Space raiders
SLKA_150.06;Knight Rider: The Game
SLKA_150.09;Takahashi Meijin no Adventure Island
SLKA_150.15;ICHIGEKI SACCHUU!! HOIHOI-SAN
SLKA_150.16;Harry Potter - Quidditch World Cup
SLKA_150.18;Gundam Seed
SLKA_150.28;Simple 2000 Series Vol.6 - Love Upper
SLKA_150.30;Simple 2000 Series Vol.5 - The Block Kuzushi Hyper
SLKA_150.32;Gradius V
SLKA_150.35;Saiyuki Reload Gunlock
SLKA_150.41;Simple 2000 Series Vol.55 - The Cat Fight
SLKA_150.42;Simple 2000 Series Vol.63 - The Suieitaikai
SLKA_150.45;Simple 2000 Series Vol.61 - The Oane-Chapara
SLKA_150.54;The Demolition Girl [Korea]
SLKA_150.58;Terra Defence Force 2, the
SLKA_200.70;Ace Combat Zero - The Belkan War [Korea]
SLKA_250.03;Herdy Gerdy
SLKA_250.06;Twin Caliber
SLKA_250.07;Spy Fiction
SLKA_250.09;Geomho 2 (Korea)
SLKA_250.10;Breath of Fire - Dragon Quarter
SLKA_250.103;UNKNOWN TITLE
SLKA_250.11;Reign of fire
SLKA_250.12;Devil May Cry 2 (Korea) (Disc 1) (Dante)
SLKA_250.13;Devil May Cry 2 (Korea) (Disc 2) (Lucia)
SLKA_250.20;TIMESPLITTERS 2
SLKA_250.24;Disneys Stitch - Experiment 626
SLKA_250.26;Chaos Legion
SLKA_250.27;NBA Street Vol.2
SLKA_250.28;MISSION IMPOSSIBLE - OPERATION SURMA
SLKA_250.30;WWE SmackDown! - Shut your mouth
SLKA_250.31;Tom Clancys Ghost Recon 2
SLKA_250.32;Enter The Matrix
SLKA_250.33;Gregory Horror Show
SLKA_250.34;Real Bass Fishing - Top Angler
SLKA_250.35;Mobile Suit Gundam - Lost War Chronicles
SLKA_250.38;Gun Survivor 4 - Biohazard - Heroes Never Die
SLKA_250.41;Armored Core - Silent Line
SLKA_250.42;Tamamayu Monogatari 2
SLKA_250.44;Robotech - Battlecry
SLKA_250.46;Dragon Ball Z (Korea)
SLKA_250.47;Shin combat choro q
SLKA_250.48;Disgaea - Hour of Darkness
SLKA_250.50;Dynasty Warriors 3
SLKA_250.51;Clock Tower 3 (Korea)
SLKA_250.55;Hitman 2: Silent Assassin
SLKA_250.56;Disney-Pixars Finding Nemo
SLKA_250.59;Pride FC -Fighting Championships
SLKA_250.60;I.Q. Remix+ - Intelligent Qube
SLKA_250.61;Tom Clancys Splinter Cell
SLKA_250.62;DRAGON BALL Z - BUDOKAI 2
SLKA_250.63;Kaido Battle
SLKA_250.64;TENCHU - WRATH OF HEAVEN
SLKA_250.65;SILENT HILL 3
SLKA_250.67;Unlimited Saga
SLKA_250.72;Maximo vs army of zin
SLKA_250.73;Lara Croft Tomb Raider: The Angel of Darkness
SLKA_250.76;Shin Megami Tensei III - Nocturne
SLKA_250.80;.hack//Part 1 - Infection
SLKA_250.81;SD Gundam G Generation Neo
SLKA_250.82;Castlevania - Lament of Innocence
SLKA_250.85;Dynasty Warriors 3 - Xtreme Legends
